بخش,عنوان شغلی,شرح وظایف
فنی و اجرایی,مدیر پروژه,"مدیریت کلی پروژه، زمان‌بندی، بودجه‌بندی و هماهنگی تیم‌ها"
فنی و اجرایی,مهندس سایت,"نظارت بر کارگاه، کنترل کیفیت اجرا و تطابق با نقشه‌ها"
فنی و اجرایی,نقشه‌بردار,"انجام برداشت‌های زمینی، پیاده‌سازی نقشه با GPS و توتال"
فنی و اجرایی,مهندس دفتر فنی,"تهیه و بررسی نقشه‌ها، متره و برآورد، مستندسازی فنی"
فنی و اجرایی,مهندس برنامه‌ریزی,"برنامه‌ریزی زمان‌بندی پروژه، کنترل پیشرفت و منابع"
تدارکات و لجستیک,کارشناس تدارکات,"خرید مصالح و تجهیزات، مدیریت تأمین‌کننده‌ها و سفارشات"
تدارکات و لجستیک,کارشناس لجستیک و ماشین‌آلات,هماهنگی اجاره و تردد ماشین‌آلات و تجهیزات
زیرساخت و زمین,کارشناس تملک زمین,"مذاکره و خرید زمین، اخذ مجوزها و تعامل با نهادها"
زیرساخت و زمین,کارشناس HSE,"ایمنی و بهداشت کارگاه، آموزش ایمنی و پایش محیط زیست"
طراحی و نقشه‌کشی,مهندس طراح,طراحی سازه‌ها با استفاده از نرم‌افزارهای تخصصی
طراحی و نقشه‌کشی,نقشه‌کش,تهیه نقشه‌های فنی و اجرایی بر اساس طراحی مهندس
اداری و مالی,مدیر مالی,"مدیریت امور مالی، بودجه و پرداخت‌ها"
اداری و مالی,کارشناس منابع انسانی,"استخدام، حقوق، بیمه و ارزیابی عملکرد کارکنان"
اداری و مالی,کارشناس قراردادها,تنظیم و پیگیری قراردادها با پیمانکاران و مشاوران
