نقش,عنوان درخواست,شرح,هزینه تقریبی (تومان),وضعیت
کارشناس قراردادها,تنظیم قرارداد با پیمانکار,پیش‌نویس قرارداد همکاری با پیمانکار اجرای خط مترو بخش غربی,65000000,در حال بررسی
کارشناس منابع انسانی,جذب کارگران فنی,استخدام ۳۰ نیروی فنی برای کارگاه پل‌سازی منطقه ۲,45000000,تایید شده
مدیر مالی,پرداخت به تامین‌کننده فولاد,پرداخت پیش‌پرداخت به تامین‌کننده فولاد پروژه پل عابرپیاده,500000000,انجام شده
نقشه‌کش,طراحی فاز اجرایی فونداسیون,تهیه نقشه اجرایی فاز دوم پروژه راه‌سازی,20000000,در حال انجام
مهندس طراح,بازبینی نقشه سازه‌ای,بازبینی نقشه‌های سازه‌ای طبق تغییرات معماری جدید,30000000,در انتظار تایید
کارشناس HSE,خرید تجهیزات آتش‌نشانی,تهیه کپسول‌های آتش‌نشانی و علائم ایمنی برای کارگاه مترو,15000000,تایید شده
کارشناس تملک زمین,قرارداد مشاور حقوقی,عقد قرارداد با وکیل جهت بررسی حقوقی مالکیت زمین‌ها,55000000,در حال بررسی
کارشناس لجستیک و ماشین‌آلات,اجاره لودر,اجاره لودر به مدت یک ماه برای پروژه جاده‌سازی,120000000,تایید شده
کارشناس تدارکات,خرید سیمان,سفارش ۵۰۰ تن سیمان تیپ ۲ برای پروژه خط قطار شهری,280000000,در انتظار تایید
مهندس برنامه‌ریزی,به‌روزرسانی برنامه زمان‌بندی,ورود تغییرات تاخیر در اجرای پروژه خط مترو به نرم‌افزار MSP,10000000,انجام شده
مهندس دفتر فنی,تهیه دفترچه محاسبات,جمع‌آوری و تدوین دفترچه محاسبات پروژه پل سوم,40000000,تایید شده
نقشه‌بردار,برداشت توپوگرافی زمین,انجام عملیات نقشه‌برداری اولیه از زمین پروژه مسکن ملی,25000000,انجام شده
مهندس سایت,گزارش پیشرفت فیزیکی,تهیه گزارش پیشرفت فیزیکی روزانه از فعالیت‌های کارگاهی,5000000,در حال انجام
مدیر پروژه,خرید ژنراتور,سفارش ژنراتور صنعتی برای تامین برق اضطراری کارگاه,350000000,تایید شده
