ردیف,نام محصول,قیمت (تومان),دسته‌بندی,موجودی,توضیحات,,
1,یخچال ساید بای ساید اسنوا,4479799,کالای دیجیتال,34,گارانتی ۱۸ ماهه,,
2,مودم ایرانسل,16798138,لوازم جانبی,87,سازگار با سیستم‌عامل‌های مختلف,,
3,بخاری برقی پارس‌خزر,5066525,لوازم خانگی,33,سازگار با سیستم‌عامل‌های مختلف,,
4,کیف لپ‌تاپ CAT,4839481,کالای دیجیتال,31,طراحی ارگونومیک,,
5,موس Logitech MX,36053401,موبایل,86,نسخه اورجینال,,
6,یخچال ساید بای ساید اسنوا,2940569,لوازم خانگی,53,سازگار با سیستم‌عامل‌های مختلف,,
7,لپ‌تاپ HP Envy,45206033,موبایل,42,"چاپ ۱۴۰۳، ۵۰۰ صفحه",,
8,قهوه‌ساز دلونگی,8002894,کتاب,86,جدیدترین مدل با امکانات پیشرفته,,
9,پروژکتور اپسون,23300115,کتاب,39,مناسب برای کارهای حرفه‌ای,,
10,کیبورد مکانیکی Redragon,36517690,لوازم جانبی,68,مناسب برای کارهای حرفه‌ای,,
11,کارت گرافیک RTX 4070,49876839,موبایل,96,جدیدترین مدل با امکانات پیشرفته,,
12,سی‌پی‌یو Ryzen 9,17613420,لوازم جانبی,95,گارانتی ۱۸ ماهه,,
13,باتری قلمی شارژی پاناسونیک,22003099,کتاب,37,دارای صفحه‌نمایش لمسی,,
14,روتر TP-Link AX,23169689,لوازم خانگی,47,نسخه اورجینال,,
15,ساعت هوشمند Huawei,12107864,لوازم جانبی,66,دارای صفحه‌نمایش لمسی,,
16,پنکه ایستاده سام,53599648,لوازم جانبی,23,پرفروش‌ترین محصول سال,,
17,هدفون گیمینگ Razer Kraken,58087897,کتاب,64,با قابلیت اتصال بی‌سیم,,
18,اسپیکر بلوتوثی Harman Kardon,37757533,کالای دیجیتال,87,گارانتی ۱۸ ماهه,,
19,بازی FIFA 24,32391671,لوازم خانگی,9,نسخه اورجینال,,
20,جاروبرقی بوش,49977825,کالای دیجیتال,42,جدیدترین مدل با امکانات پیشرفته,,
21,ساعت هوشمند Huawei,49608578,کالای دیجیتال,11,سازگار با سیستم‌عامل‌های مختلف,,
22,پخش‌کننده بلوری سونی,52750307,موبایل,86,نسخه اورجینال,,
23,ماشین ظرفشویی بوش,27231441,کتاب,49,پرفروش‌ترین محصول سال,,
24,جاروبرقی بوش,57775982,کتاب,22,سازگار با سیستم‌عامل‌های مختلف,,
25,بند ورزشی اپل واچ,9967951,لوازم خانگی,64,مناسب برای کارهای حرفه‌ای,,
26,جاروبرقی بوش,59302053,لوازم خانگی,23,طراحی ارگونومیک,,
27,کولر گازی گری,23658453,موبایل,75,سازگار با سیستم‌عامل‌های مختلف,,
28,سی‌پی‌یو Ryzen 9,26918321,لوازم جانبی,5,"چاپ ۱۴۰۳، ۵۰۰ صفحه",,
29,فلش مموری سن‌دیسک,34850800,لوازم خانگی,12,با قابلیت اتصال بی‌سیم,,
30,ساعت هوشمند Huawei,26045473,کالای دیجیتال,25,مناسب برای کارهای حرفه‌ای,,
31,بخاری برقی پارس‌خزر,48037406,موبایل,92,پرفروش‌ترین محصول سال,,
32,کتاب پایتون پیشرفته,14668424,کالای دیجیتال,7,سازگار با سیستم‌عامل‌های مختلف,,
33,هدفون گیمینگ Razer Kraken,20977953,لوازم جانبی,98,گارانتی ۱۸ ماهه,,
34,اسپیکر بلوتوثی Harman Kardon,23751677,لوازم جانبی,62,گارانتی ۱۸ ماهه,,
35,پایه خنک‌کننده لپ‌تاپ,18444769,کتاب,35,گارانتی ۱۸ ماهه,,
36,لپ‌تاپ ایسوس ROG,3495653,موبایل,88,"چاپ ۱۴۰۳، ۵۰۰ صفحه",,
37,کارت گرافیک RTX 4070,30619858,لوازم جانبی,58,مناسب برای کارهای حرفه‌ای,,
38,سی‌پی‌یو Ryzen 9,27932707,لوازم خانگی,80,دارای صفحه‌نمایش لمسی,,
39,هارد اکسترنال وسترن,3525254,لوازم جانبی,65,دارای صفحه‌نمایش لمسی,,
40,پروژکتور اپسون,17213981,موبایل,72,با قابلیت اتصال بی‌سیم,,
41,کارت گرافیک RTX 4070,7668675,لوازم جانبی,61,جدیدترین مدل با امکانات پیشرفته,,
42,هندزفری شیائومی,6357018,لوازم جانبی,100,نسخه اورجینال,,
43,کنسول PS5,11197341,لوازم خانگی,79,"چاپ ۱۴۰۳، ۵۰۰ صفحه",,
44,مانیتور Dell UltraSharp,59031404,کالای دیجیتال,16,پرفروش‌ترین محصول سال,,
45,اسپیکر بلوتوثی Harman Kardon,44775015,لوازم جانبی,66,جدیدترین مدل با امکانات پیشرفته,,
46,میکروفون بویا,10088210,موبایل,35,نسخه اورجینال,,
47,بخاری برقی پارس‌خزر,41720088,موبایل,60,مناسب برای کارهای حرفه‌ای,,
48,پرینتر HP LaserJet,7493953,کالای دیجیتال,68,مناسب برای کارهای حرفه‌ای,,
49,اتو بخار تفال,51710303,لوازم جانبی,76,"چاپ ۱۴۰۳، ۵۰۰ صفحه",,
50,مودم ایرانسل,44834550,لوازم جانبی,35,مناسب برای کارهای حرفه‌ای,,
